Name,TechStock,Date,Close
"Meta Platforms, Inc. (XNAS:META)",META,01/03/2023,173.42
,,02/03/2023,174.53
,,03/03/2023,185.25
,,06/03/2023,184.90
,,07/03/2023,184.51
,,08/03/2023,184.97
,,09/03/2023,181.69
,,10/03/2023,179.51
,,13/03/2023,180.90
,,14/03/2023,194.02
,,15/03/2023,197.75
,,16/03/2023,204.93
,,17/03/2023,195.61
,,20/03/2023,197.81
,,21/03/2023,202.16
,,22/03/2023,199.81
,,23/03/2023,204.28
,,24/03/2023,206.01
,,27/03/2023,202.84
,,28/03/2023,200.68
,,29/03/2023,205.35
,,30/03/2023,207.84
,,31/03/2023,211.94
,,03/04/2023,213.07
,,04/04/2023,214.72
,,,
